nfe;data;cliente;volume;fardos;ciclo_pezinho
2738;22/02/2022;GREEN GOLD;50,519;40;16
2744;28/02/2022;GREEN GOLD;50,519;40;16
3515;09/11/2021;CASTILLO;48,708;36;16
3520;10/11/2021;CASTILLO;48,708;36;16
3524;11/11/2021;CASTILLO;48,708;36;16
3525;12/11/2021;CASTILLO;48,708;36;16
3532;16/11/2021;CASTILLO;48,708;36;16
3537;18/11/2021;CASTILLO;48,708;36;16
3545;22/11/2021;CASTILLO;48,708;36;16
3553;26/11/2021;CASTILLO;48,708;36;16
3555;29/11/2021;CASTILLO;48,708;36;16
3556;30/11/2021;CASTILLO;48,708;36;16
3564;03/12/2021;CASTILLO;48,708;36;16
3569;07/12/2021;CASTILLO;48,708;36;16
3580;14/12/2021;CASTILLO;49,392;40;16
3582;14/12/2021;CASTILLO;49,392;40;16
3609;07/01/2022;CASTILLO;49,392;40;16
3613;11/01/2022;CASTILLO;49,392;40;16
3617;12/01/2022;CASTILLO;49,392;40;16
3618;12/01/2022;CASTILLO;49,392;40;16
3623;14/01/2022;CASTILLO;49,392;40;16
3626;17/01/2022;CASTILLO;49,674;40;16
3638;25/01/2022;CASTILLO;49,392;40;16
3653;01/02/2022;CASTILLO;49,392;40;16
3657;02/02/2022;CASTILLO;49,392;40;16
3658;03/02/2022;CASTILLO;49,392;40;16
3673;18/02/2022;MULTIPINE;47,316;36;16
3676;21/02/2022;MULTIPINE;52,429;40;16
3681;23/02/2022;CASTILLO;49,392;40;16
3682;23/02/2022;CASTILLO;49,392;40;16
3683;24/02/2022;CASTILLO;49,392;40;16
3684;24/02/2022;CASTILLO;26,342;20;16
3685;24/02/2022;CASTILLO;23,05;20;16
3688;24/02/2022;MULTIPINE;49,352;40;16
3689;25/02/2022;MULTIPINE;50,265;44;16
3690;25/02/2022;CASTILLO;49,392;40;16
3691;25/02/2022;CASTILLO;49,392;40;16
3692;25/02/2022;MULTIPINE;47,316;36;16
3693;25/02/2022;MULTIPINE;47,316;36;16
3696;28/02/2022;MULTIPINE;49,997;40;16
3702;02/03/2022;CASTILLO;49,392;40;16
3703;02/03/2022;CASTILLO;49,392;40;16
3708;04/03/2022;CASTILLO;49,392;40;16
3710;04/03/2022;MULTIPINE;50,265;44;16
3712;07/03/2022;CASTILLO;49,392;40;45
3713;07/03/2022;MULTIPINE;47,316;36;45
3716;09/03/2022;CASTILLO;49,65;40;45
3717;09/03/2022;MULTIPINE;47,316;36;45
3718;11/03/2022;CASTILLO;48,09;40;45
3719;11/03/2022;CASTILLO;37,044;30;45
3720;11/03/2022;CASTILLO;12,19;10;45
3724;14/03/2022;CASTILLO;48,09;40;45
3728;15/03/2022;CASTILLO;48,162;40;45
3729;15/03/2022;CASTILLO;46,925;44;45
3732;16/03/2022;MULTIPINE;48,522;40;45
3733;16/03/2022;MULTIPINE;48,756;44;45
3734;16/03/2022;MULTIPINE;47,316;36;45
3736;17/03/2022;VALLE;1000;1000;45
3745;22/03/2022;CASTILLO;46,1;40;45
3746;22/03/2022;CASTILLO;47,005;40;45
3750;22/03/2022;CASTILLO;46,063;40;45
3751;23/03/2022;CASTILLO;46,727;40;45
3754;23/03/2022;CASTILLO;46,186;42;45
3755;24/03/2022;MULTIPINE;48,384;40;45
3756;24/03/2022;CASTILLO;47,409;40;45
3758;28/03/2022;MULTIPINE;47,316;36;45
3763;31/03/2022;CASTILLO;46,145;36;45
3766;01/04/2022;MULTIPINE;51,996;40;45
3767;01/04/2022;CASTILLO;46,123;40;45
3769;04/04/2022;CASTILLO;46,276;42;45
3771;05/04/2022;CASTILLO;47,033;40;45
3772;07/04/2022;CASTILLO;24,748;21;45
3773;07/04/2022;MULTIPINE;46,987;48;45
3774;07/04/2022;CASTILLO;46,268;36;45
3779;11/04/2022;MULTIPINE;46,846;44;45
3780;11/04/2022;MULTIPINE;46,846;44;45
3781;12/04/2022;MULTIPINE;47,316;36;45
3786;14/04/2022;BRASILMAD;50,419;40;45
3787;14/04/2022;BRASILMAD;47,534;48;45
3790;18/04/2022;BRASILMAD;53,071;36;45
3791;20/04/2022;BRASILMAD;53,071;36;45
3795;20/04/2022;BRASILMAD;49,936;40;45
3797;25/04/2022;MULTIPINE;46,846;44;45
3798;26/04/2022;BRASILMAD;52,224;36;45
3799;27/04/2022;BRASILMAD;50,643;40;45
3801;28/04/2022;BRASILMAD;50,335;36;45
3804;29/04/2022;MULTIPINE;48,818;36;45
3806;02/05/2022;BRASILMAD;50,335;36;45
3807;03/05/2022;MULTIPINE;49,196;36;45
