id;ciclo;bitola;fardos;volume_tratado
1;3;SKIDS;0;60
2;4;MAD. SERRADA;0;60
3;5;MAD. SERRADA;0;59
4;6;MAD. SERRADA;0;59
5;7;MAD. SERRADA;0;55
6;8;MAD. SERRADA;0;60
7;9;MAD. SERRADA;0;60
8;10;MAD. SERRADA;0;60
9;11;MAD. SERRADA;0;60
10;12;MAD. SERRADA;0;60
11;13;MAD. SERRADA;0;60
12;14;MAD. SERRADA;0;59
13;15;MAD. SERRADA;0;59
14;16;75x85x2400mm;48;60
15;17;20x118x2600mm;0;50,806
16;18;20x118x2600mm;36;50,806
17;19;20x118x2600mm;36;50
18;20;20x118x2600mm;36;50,806
19;21;20x118x2600mm;36;50,806
20;22;20x118x2600mm;36;50,806
21;23;20x118x2600mm;36;50,806
22;24;20x118x2600mm;36;50,806
23;25;20x118x2600mm;36;50,806
24;26;20x118x2600mm;36;50,806
25;27;20x118x2600mm;36;50,806
26;28;20x118x2600mm;36;50,806
27;29;20x140x2400mm;48;59,351
28;30;20x140x2400mm;48;59,351
29;31;20x140x2400mm;48;59,351
30;32;20x140x2400mm;36;59,351
31;33;20x140x2400mm;48;59,351
32;34;20x140x2400mm;48;59,351
33;35;20x140x2400mm;48;59,351
34;36;20x140x2400mm;48;59,351
35;37;20x140x2400mm;48;59,351
36;38;20x140x2400mm;48;59,351
37;39;20x140x2400mm;48;59,351
38;40;20x140x2400mm;48;59,351
39;41;17x118x2600mm;36;46,96
40;42;20x140x2400mm;12;14,837
41;42;17x118x2600mm;24;31,293
42;43;17x118x2600mm;36;46,96
43;44;20x140x2400mm;23;28,434
44;44;20x96x2400mm;25;31,795
45;45;70x85x2400mm;24;34,272
46;45;17x70x2200mm;12;18,85
47;46;17x138x3000mm;25;33,782
48;46;20x140x2400mm;5;6,182
49;46;17x95x3000mm;2;2,79
50;46;17x75x3000mm;4;5,508
51;47;20x140x2400mm;25;30,912
52;47;17x118x2600mm;15;19,558
53;48;17x118x2600mm;36;48,818
54;49;16x97x2600mm;36;50,844
55;50;16x97x2600mm;36;50,844
56;51;16x97x2600mm;36;50,844
57;52;17x127x2440mm;48;56,893
58;53;17x127x2440mm;48;56,893
59;54;17x127x2440mm;48;56,893
60;55;17x127x2440mm;48;56,893
61;56;17x127x2440mm;48;56,893
62;57;17x118x2600mm;36;48,818
63;58;17x118x2600mm;36;48,818
64;59;17x118x2600mm;36;48,818
65;60;17x125x2400mm;48;53,758
66;61;20x140x2400mm;48;54,19
67;62;20x140x2400mm;48;54,19
68;63;87x125x2400mm;48;101,476
69;64;17x125x2440mm;48;53,758
70;65;87x125x2450mm;48;106,14
71;67;20x140x2400mm;48;56,77
72;68;16x95x3000mm;48;53,187
73;69;75x90x1200mm;11;14,701
74;69;17x75x1200mm;15;7,917
