id;nfe;volume;retrabalho
3;3924;49,896;15x90x1100mm
4;3925;50,364;14x70x1100mm
5;3955;49,896;15x90x1100mm
6;3809;48,625;16x97x1300mm
6;3922;11,375;87x125x2400mm
7;3897;27,177;87x125x2450mm
7;3897;17,748;87x125x1200mm
7;3897;4,88;87x125x1100mm
7;3922;10,195;87x125x2450mm
8;3787;47,534;16x87x933mm
8;3922;12,466;87x125x2450mm
9;3839;47,975;16x87x933mm
9;3922;12,025;87x125x2450mm
10;3894;49,613;17x125x1216mm
10;3922;5,324;87x125x1200mm
10;3922;1,045;87x125x2450mm
11;2738;33,679;16x78x1100mm
12;2738;16,84;16x78x1100mm
12;2744;16,84;16x78x1100mm
13;2744;33,679;16x78x1100mm
15;3515;48,708;20x118x1300mm
16;3520;48,708;20x118x1300mm
17;3524;48,708;20x118x1300mm
18;3525;48,708;20x118x1300mm
19;3532;48,708;20x118x1300mm
20;3537;48,708;20x118x1300mm
21;3545;48,708;20x118x1300mm
22;3553;48,708;20x118x1300mm
23;3555;48,708;20x118x1300mm
24;3556;48,708;20x118x1300mm
25;3564;48,708;20x118x1300mm
26;3569;48,708;20x118x1300mm
27;3580;49,392;20x140x1200mm
28;3582;49,392;20x140x1200mm
29;3609;49,392;20x140x1200mm
30;3613;49,392;20x140x1200mm
31;3617;49,392;20x140x1200mm
32;3618;49,392;20x140x1200mm
33;3638;49,392;20x140x1200mm
34;3681;49,392;20x140x1200mm
35;3682;49,392;20x140x1200mm
36;3683;49,392;20x140x1200mm
37;3684;26,342;20x140x1200mm
37;3685;23,05;20x140x1200mm
38;3690;49,392;20x140x1200mm
39;3673;46,96;17x118x1300mm
40;3884;14,837;20x140x1200mm
41;3758;31,293;17x118x1300mm
42;3692;46,96;17x118x1300mm
43;3716;18,604;20x140x1200mm
44;3716;31,046;20x96x1200mm
47;3964;33,782;17x118x1200mm
48;3884;2,635;20x140x1200mm
51;3884;30,912;20x140x1200mm
52;3758;16,023;17x118x1300mm
53;3781;47,316;17x118x1300mm
54;3801;50,335;16x97x1300mm
55;3806;50,335;16x97x1300mm
56;3809;50,335;16x97x1300mm
57;3820;50,151;
58;3821;50,151;
59;3832;50,151;
60;3834;50,151;
61;3844;49,199;17x125x1216mm
62;3850;47,316;17x118x1300mm
63;3854;47,316;17x118x1300mm
64;3860;47,316;17x118x1300mm
65;3908;48,31;17x125x1216mm
66;3904;38,223;20x140x1200mm
66;3904;9,732;20x96x1200mm
67;3915;48,061;20x140x1200mm
68;3934;47,106;
68;3934;5,324;87x125x1200mm
68;3947;35,489;
68;3947;13,154;87x125x1200mm
69;3942;48,993;17x125x1216mm
70;3971;34,424;
70;3971;15,973;87x125x1200mm
70;3988;32,613;
70;3988;17,852;87x125x1200mm
71;4034;39,191;20x140x1200mm
71;4034;8,516;20x96x1200mm
72;4189;48,868;14x85x935mm
